,FFSR1,FFSR2,FFSR3,FFSR4,RFSR1,RFSR2,RFSR3,RFSR4
201,3328,0,0,3265,774,84,348,449
202,3327,0,0,3266,775,85,350,452
203,3328,0,0,3270,774,90,354,451
204,3327,0,0,3262,773,85,355,453
205,3315,0,0,3251,773,89,359,454
206,3324,0,0,3248,774,91,372,459
207,3313,0,0,2898,783,80,380,469
208,3291,0,0,2880,782,83,400,469
209,3294,0,0,2902,784,86,412,469
210,3296,0,0,2911,785,83,406,473
211,3293,0,0,2947,786,80,385,475
212,3308,0,0,2909,779,84,407,474
213,3312,0,0,2914,780,80,408,475
214,3315,0,0,2955,780,81,403,477
215,3314,0,0,2929,780,86,413,477
216,3327,0,0,2942,780,84,411,480
217,3342,0,0,2951,782,82,390,480
218,3356,0,0,2960,786,84,352,479
219,3371,0,0,2918,782,86,343,473
220,3361,0,0,2675,781,94,387,484
221,3331,0,0,2640,777,94,417,489
222,3344,0,0,2614,783,92,410,490
223,3351,0,0,2640,786,95,404,490
224,3347,0,0,2618,788,93,424,491
225,3346,0,0,2622,786,95,429,489
226,3349,0,0,2608,788,98,422,492
227,3345,0,0,2661,789,98,427,491
228,3339,0,0,2662,787,98,424,486
229,3351,0,0,2752,790,100,424,488
230,3347,0,0,2752,788,103,428,490
231,3344,0,0,2767,789,101,431,485
232,3345,0,0,2771,788,98,434,486
233,3345,0,0,2766,788,100,436,486
234,3344,0,0,2672,789,97,436,492
235,3333,0,0,2650,784,97,434,495
236,3328,0,0,2669,787,98,425,494
237,3345,0,0,2792,788,98,406,496
238,3315,0,0,2795,789,93,400,498
239,3303,0,0,2726,790,88,416,496
240,3314,0,0,2727,786,93,420,496
241,3319,0,0,2748,788,92,423,496
242,3316,0,0,2781,787,92,424,497
243,3297,0,0,2799,782,94,428,484
244,3298,0,0,2903,785,90,426,462
245,3280,0,0,3121,786,91,363,425
246,3280,0,0,3248,785,92,373,410
247,3262,0,0,3312,789,87,335,405
248,3252,0,0,3353,793,89,308,389
249,3264,0,0,3366,793,90,331,399
250,3271,0,0,3353,790,90,340,407
251,3270,0,0,3359,791,90,343,407
252,3277,0,0,3359,789,87,351,405
253,3275,0,0,3362,787,93,356,410
254,3277,0,0,3359,788,95,357,413
255,3276,0,0,3363,787,96,357,414
256,0,3615,3911,0,0,899,324,224
257,0,3613,3911,0,0,900,346,216
258,0,3614,3907,0,0,900,342,220
259,0,3611,3906,0,0,900,354,216
260,0,3613,3908,0,0,900,344,221
261,0,3611,3913,0,0,900,358,206
262,0,3611,3905,0,0,901,360,214
263,0,3615,3908,0,0,901,356,208
264,0,3615,3907,0,0,901,355,204
265,0,3611,3905,0,0,901,356,206
266,0,3611,3903,0,0,901,357,204
267,0,3614,3906,0,0,901,359,196
268,0,3600,3889,0,0,902,366,201
269,0,3614,3903,0,0,902,352,200
270,0,3610,3902,0,0,902,360,197
271,0,3600,3889,0,0,901,362,195
272,0,3610,3900,0,0,903,355,194
273,0,3610,3902,0,0,903,361,189
274,0,3610,3893,0,0,903,361,190
275,0,3613,3898,0,0,903,365,172
276,0,3611,3895,0,0,904,367,183
277,0,3605,3894,0,0,904,360,185
278,0,3606,3894,0,0,904,364,182
279,0,3609,3900,0,0,904,373,171
280,0,3609,3895,0,0,904,370,169
281,0,3607,3890,0,0,904,359,172
282,0,3605,3892,0,0,904,370,167
283,0,3607,3893,0,0,904,368,172
284,0,3608,3888,0,0,904,358,171
285,0,3605,3888,0,0,905,362,171
286,0,3603,3888,0,0,905,366,172
287,0,3600,3888,0,0,905,368,164
288,0,3602,3893,0,0,905,373,165
289,0,3602,3897,0,0,905,378,156
290,0,3603,3898,0,0,904,383,171
291,0,3602,3901,0,0,906,373,163
292,0,3605,3901,0,0,905,382,170
293,0,3603,3893,0,0,905,382,157
294,0,3606,3898,0,0,906,383,151
295,0,3601,3901,0,0,906,386,149
296,0,3595,3888,0,0,905,386,147
297,0,3600,3900,0,0,906,389,148
298,0,3600,3893,0,0,906,388,148
299,0,3601,3895,0,0,906,390,153
300,0,3600,3897,0,0,906,389,147
301,0,3599,3893,0,0,906,382,145
302,0,3600,3949,0,0,906,381,144
303,0,3600,3891,0,0,907,382,146
304,0,3600,3891,0,0,906,384,137
305,0,3599,3888,0,0,907,382,154
306,0,3599,3890,0,0,907,381,147
307,0,3600,3891,0,0,907,378,151
308,0,3600,3893,0,0,907,384,157
309,0,3599,3890,0,0,907,384,155
310,0,3598,3890,0,0,907,384,151
311,0,3600,3895,0,0,907,382,150
312,0,3600,3891,0,0,907,374,152
313,0,3595,3890,0,0,907,379,157
314,0,3594,3897,0,0,908,387,137
315,0,3599,3891,0,0,908,381,147
316,0,3600,3887,0,0,908,374,161
317,0,3594,3872,0,0,907,364,164
318,0,3605,3888,0,0,902,317,169
319,0,3610,3900,0,0,896,220,211
320,0,2447,0,0,0,108,726,892
321,0,2465,0,0,0,104,746,865
322,0,2480,0,0,0,96,792,779
323,0,2471,0,0,0,106,821,724
324,0,2457,1264,0,0,105,816,709
325,0,2464,1749,0,0,106,797,726
326,0,2467,1381,0,0,100,785,748
327,0,2666,1409,0,0,109,798,732
328,0,2886,391,0,0,95,806,741
329,0,2672,0,0,0,95,826,743
330,0,2705,688,0,0,95,834,734
331,0,2896,752,0,0,119,848,758
332,0,2843,423,0,0,121,851,757
333,0,2864,0,0,0,116,853,763
334,0,2870,1247,0,0,123,846,775
335,0,2947,763,0,0,113,830,839
336,0,2873,406,0,0,117,839,821
337,0,2908,682,0,0,121,828,804
338,0,2947,1184,0,0,121,841,762
339,0,2955,409,0,0,119,844,747
340,0,2960,683,0,0,121,835,740
341,0,3061,1191,0,0,133,812,739
342,0,2715,1249,0,0,116,827,738
343,0,2707,1152,0,0,115,840,729
344,0,3033,1348,0,0,164,841,729
345,0,2969,1355,0,0,145,843,732
346,0,2948,456,0,0,117,847,742
347,0,2949,1358,0,0,121,848,749
348,0,2988,775,0,0,151,848,747
349,0,2946,1079,0,0,119,847,745
350,0,2954,1269,0,0,144,841,744
351,0,2960,521,0,0,143,848,746
352,0,2980,1296,0,0,130,850,741
353,0,2838,1350,0,0,125,859,726
354,0,2993,1264,0,0,164,857,730
355,0,2880,1072,0,0,122,858,735
356,0,2928,979,0,0,161,858,737
357,0,2946,1146,0,0,162,858,737
358,0,2947,983,0,0,158,858,739
359,0,2948,983,0,0,160,858,739
360,0,2949,984,0,0,160,859,740
361,0,2948,1325,0,0,156,856,743
362,0,2960,1286,0,0,162,851,745
363,0,2956,1557,0,0,162,855,739
364,0,2970,1478,0,0,179,855,739
365,0,2969,1599,0,0,174,855,737
366,0,2965,976,0,0,175,856,743
367,0,2987,726,0,0,173,857,746
368,0,2981,891,0,0,174,857,746
369,0,2987,1330,0,0,181,856,742
370,0,2994,1338,0,0,167,856,744
371,0,3018,1322,0,0,156,854,744
372,0,3021,1377,0,0,161,856,743
373,0,3050,1395,0,0,171,854,749
374,0,3006,1414,0,0,162,854,751
375,0,3030,1525,0,0,169,850,777
376,0,3033,1831,0,0,157,826,818
377,0,3039,2121,0,0,157,829,804
378,0,3039,2119,0,0,157,831,800
379,0,3038,2110,0,0,171,831,801
380,0,3041,2130,0,0,171,832,805
381,0,3043,2125,0,0,173,832,802
382,0,3044,2141,0,0,157,824,766
383,0,3039,2100,0,0,164,820,730
384,0,3541,3815,0,0,873,325,359
385,0,3524,3814,0,0,871,331,344
386,0,3533,3814,0,0,871,333,346
387,0,3523,3801,0,0,868,339,355
388,0,3530,3805,0,0,868,344,359
389,0,3531,3799,0,0,870,350,360
390,0,3526,3791,0,0,869,354,358
391,0,3526,3791,0,0,869,354,359
392,0,3529,3794,0,0,868,356,354
393,0,3529,3785,0,0,867,351,360
394,0,3526,3812,0,0,865,338,353
395,0,3526,3792,0,0,865,346,353
396,0,3523,3774,0,0,863,360,366
397,0,3521,3770,0,0,861,362,367
398,0,3522,3770,0,0,862,364,358
399,0,3521,3774,0,0,862,367,358
400,0,3525,3766,0,0,861,378,361
401,0,3522,3771,0,0,862,376,361
402,0,3523,3765,0,0,862,353,367
403,0,3520,3757,0,0,861,352,369
404,0,3451,3766,0,0,863,345,368
405,0,3534,3769,0,0,869,347,391
406,0,3523,3779,0,0,870,353,379
407,0,3511,3747,0,0,875,359,367
408,0,3513,3761,0,0,874,367,379
409,0,3518,3759,0,0,869,356,396
410,0,3523,3767,0,0,865,363,390
411,0,3519,3738,0,0,866,393,379
412,0,3520,3731,0,0,864,398,384
413,0,3521,3740,0,0,864,390,375
